ID,MinReqsText,RecReqsText
222500,Minimum:OS: Windows 7Processor: i7-4790K 4.00GHzMemory: 8 GB RAMGraphics: nVidia GeForce GTX 980 4GbStorage: 4 GB available spaceSound Card: DirectX compatible soundcard,Recommended:OS: Windows 10Processor: i7-4790K 4.00GHzMemory: 32 GB RAMGraphics: nVidia GeForce GTX 980 4GbStorage: 4 GB available spaceSound Card: DirectX compatible
222520,Minimum:OS:Windows XPProcessor:Core2DuoMemory:1024 MB RAMGraphics:Shader Model 2.0 and 256 MB RAM: NVIDIA GeForce 6600 or ATI 2600DirectX(r):9.0cHard Drive:4 GB HD spaceOther Requirements:Broadband Internet connection,Recommended:OS:Windows 7Processor:Core i5Memory:4096 MB RAMGraphics:Shader Model 4 and 1024 MB RAM: NVIDIA GT240 or ATI Radeon HD5700DirectX(r):9.0cHard Drive:8 GB HD spaceOther Requirements:Broadband Internet connection
222606,Minimum:OS: Windows(r) Vista / 7 / 8Processor: 2.8 GHz Core 2 Duo (3.2 GHz Core 2 Duo recommended) AMD Athlon MP (multiprocessor variant or comparable processors)Memory: 2 GB RAMGraphics: 512 MB with Pixel Shader 3.0 (AGP PCIe only)DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 6 GB available spaceSound Card: Direct X 9.0c compatibleAdditional Notes: Quicktime Player is required for playing the videos,
222615,Minimum:OS: Windows(r) Vista / 7 / 8Processor: 2.8 GHz Core 2 Duo (3.2 GHz Core 2 Duo recommended) AMD Athlon MP (multiprocessor variant or comparable processors)Memory: 2 GB RAMGraphics: 512 MB with Pixel Shader 3.0 (AGP PCIe only)DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 6 GB available spaceSound Card: Direct X 9.0c compatibleAdditional Notes: Quicktime Player is required for playing the videos,
222618,Minimum:OS: Windows(r) Vista / 7 / 8Processor: 2.8 GHz Core 2 Duo (3.2 GHz Core 2 Duo recommended) AMD Athlon MP (multiprocessor variant or comparable processors)Memory: 2 GB RAMGraphics: 512 MB with Pixel Shader 3.0 (AGP PCIe only)DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 6 GB available spaceSound Card: Direct X 9.0c compatibleAdditional Notes: Quicktime Player is required for playing the videos,
222638,Minimum:OS: Windows(r) Vista / 7 / 8Processor: 2.8 GHz Core 2 Duo (3.2 GHz Core 2 Duo recommended) AMD Athlon MP (multiprocessor variant or comparable processors)Memory: 2 GB RAMGraphics: 512 MB with Pixel Shader 3.0 (AGP PCIe only)DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 6 GB available spaceSound Card: Direct X 9.0c compatibleAdditional Notes: Quicktime Player is required for playing the videos,
222640,Minimum:OS: Windows 7 / Vista / XP PC (32 ou 64 bit)Processor: AMD/intel dual-core running at 18 GHz (AMD Athlon II and Intel Core2Duo are the oldest CPU architectures recommended)Memory: 15 Go for windows XP / 2 Go for Vista Seven or 8 GB RAMGraphics: Integrated or mobile graphic card with at least 256MB of dedicated VRAM and with at least DirectX 9.0c and Shader Model 4.0 support. ATI/AMD Radeon 3800 series and above and NVIDIA GeForce 8600 series are minimum required graphic cardsDirectX: Version 9.0cStorage: 4 GB available spaceSound Card: Integrated or dedicated DirectX 9 compatible soundcard,Recommended:OS: Windows 7 / Vista / XP PC (32 ou 64 bit)Processor: AMD/intel quad-core running at 22 GHz (Intel Core I 1st gen or AMD Phenom II x4 or newer architectures are recommended)Memory: 2 Go for 32 bit windows (XP/Vista/7/8) / 3 Go for 64 bit windows (XP/Vista/7/8) GB RAMGraphics: ATI/Nvidia dedicated or mobile graphic card with at least 512MB of dedicated VRAM and with at least  DirectX 9.0c and Shader Model 4.0 support. ATI/AMD Radeon HD4800 series and NVIDIA GeForce GTX260 and  above are recommended graphic cardsDirectX: Version 9.0cStorage: 4 GB available spaceSound Card: Integrated or dedicated DirectX 9 compatible soundcard
222660,OS:Windows XP SP2 Vista Windows 7 or Windows 8Processor:2.0+ GHz or better (dual core recommended)Memory:2 GB RAMGraphics:NVIDIA 8000 seriesDirectX(r):9.0cHard Drive:300 MB HD spaceSound:Windows compatible,
222730,Minimum:Processor:Intel(r) Core 2 Duo or AMD Phenom processorMemory:2 GB RAMGraphics:DirectX10(R) compatible card with 512MB of memoryHard Drive:500 MB HD space,Recommended:OS:Windows 7Processor:Intel(r) Core i5 or AMD Phenom II Memory:4 GB RAMGraphics:DirectX10(R) compatible card with 1024MB of memoryHard Drive:500 MB HD space
222750,Minimum:OS:WINDOWS XP SP3/WINDOWS VISTA SP2/WINDOWS 7/WINDOWS 8Processor:AMD/INTEL DUAL-CORE 2.5 GHZMemory:2048 MB RAMGraphics:256 MB 100% DIRECTX 9 AND SHADERS 3.0 COMPATIBLE ATI RADEON X1800 GTO/NVIDIA GEFORCE 7600 GT/INTEL HD 3000 OR HIGHERDirectX(r):9.0Hard Drive:15 GB HD spaceSound:DIRECTX 9 COMPATIBLEOther Requirements:Broadband Internet connectionAdditional:INTERNET CONNECTION REQUIRED FOR ACTIVATION AND ONLINE GAMING,Recommended:Additional:INTERNET CONNECTION REQUIRED FOR ACTIVATION AND ONLINE GAMING
222880,MinimumOS: Windows(r) 7/Vista/XPProcessor: Intel(r) Core(tm) 2 Duo E6600 or AMD Phenom(tm) X3 8750 processor or betterMemory: 4 GB RAMGraphics: Video card must be 512 MB or more and should be a DirectX 9-compatible with support for Pixel Shader 3.0Hard Drive: 10 GB HD spaceDirectX: 9.0c,RecommendedMemory: 8 GB RAMGraphics: Video card 2048 MB or moreHard Drive: 10 GB HD space on a SSD
222940,Minimum:OS: Windows XPProcessor: Intel Pentium4 2.0 GHz and upMemory: 1 GB RAMGraphics: GeForce 9500 GT VRAM: 256MB and upDirectX: Version 9.0cStorage: 5 GB available spaceSound Card: DirectSound DirectX9.0c Compatible AudioAdditional Notes: Official Windows Media Player Codecs required,Recommended:OS: Windows7Processor: Intel Core i5 2300 and upMemory: 4 GB RAMGraphics: GeForce GTS 250 VRAM: 512MB and upDirectX: Version 9.0cStorage: 5 GB available spaceSound Card: DirectSound DirectX9.0c Compatible AudioAdditional Notes: Official Windows Media Player Codecs required
222980,Minimum:OS:Windows XPProcessor:Intel Core 2 2ghzMemory:512 MB RAMGraphics:128 MB Video RAM and at least Shader Model 2.0DirectX(r):9.0cHard Drive:200 MB HD space,
223000,Minimum:OS:Windows Vista XP 7Processor:Pentium 4 @ 2.0 GHzMemory:1 GB RAMGraphics:128 MB DirectX®:9.0Hard Drive:200 MB HD space,
223100,Minimum:OS: Windows 7/8/10 all x64Processor: Intel Core i5-4570T (2.9 GHz) or equivalent or AMD FX-6100 (3.3 GHz) or equivalentMemory: 6144 MB RAMGraphics: GeForce GTX 560 TI (1024 MB) or equivalent or Radeon R7 260X (2048 MB) or equivalentStorage: 38 GB available space,Recommended:OS: Windows 7/8/10 all x64Processor: Intel Core i5-2500K (3.3 GHz) or equivalent or AMD FX-8320 (3.5 GHz) or equivalentMemory: 8192 MB RAMGraphics: GeForce GTX 760 (2048 MB) or equivalent or Radeon HD 7870 (2048 MB) or equivalentStorage: 38 GB available space
223220,Minimum (or Recommended)OS: Windows XP                Processor: Intel Core 2 Duo @ 2.8 GHz / AMD Athlon II X2 @ 2.8 GHz                Memory: 2 GB RAM                Hard Disk Space: 3.3 GB                               Video Card: SM3.0 DX9.0c level hardware (Nvidia GeForce 6800 ATI X1800 XT or higher)                DirectX(r): 9                Additional: Keyboard,Recommended OS: Windows Vista / Windows 7                Processor: Intel Core i5 @ 2.66 GHz / AMD Phenom II X4 @ 3.0 GHz (or any Dual Core CPU)                Memory: 3 GB RAM                Hard Disk Space: 3.3 GB                                 Video Card: Nvidia GeForce GTX 280 ATI HD 4800 or higherDirectX(r): 10                              Peripherals Supported:  Windows-compatible keyboard mouse optional controller (Xbox 360(r) Controller for Windows recommended)
223280,Minimum:OS:XPProcessor:1 GHzMemory:512 MB RAMGraphics:supports Shader Model 1.1Hard Drive:150 MB HD spaceSound:optional,
223330,Minimum:OS:XPProcessor: Intel Pentium IV or AMD Athlon 2.0 GHzMemory:1024 MB RAMGraphics:128 mb video cardDirectX(r):9.0Hard Drive:12 GB HD spaceAdditional: V-Sync must be enabled,
223410,Minimum:OS: Windows XPProcessor: 2 GHz Intel or AMD processorMemory: 2 GB RAMGraphics: NVIDIA or AMD 3D graphics card with Shader Model 3.0 supportDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 3 GB available spaceSound Card: DirectX compatible sound cardAdditional Notes: Integrated graphics processors like the Intel GMA series might work but are not officially supported. The ATI Radeon X1000 series is not supported because it does not fully comply with Shader Model 3.0 standards.,Recommended:OS: Windows 7/8/10Processor: 2 Ghz multicore Intel or AMD processorMemory: 4 GB RAMGraphics: NVIDIA GTX260 or higher / AMD Radeon HD 4870 or higherDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 3 GB available spaceSound Card: DirectX compatible sound card
223430,Minimum:OS:Microsoft Windows XP Vista 7Processor:CPU: 2.0 GHzMemory:1 GB RAMGraphics:NVidia GeForce 6 series or better ATI Radeon R520 (X1300-X1950) or better Intel GMA X3000 or better. Requires at least Pixel-Shader 3.0. DirectX(r):9.0cHard Drive:3 GB HD spaceSound:DirectX 9.0c CompatibleOther Requirements:Broadband Internet connection,Recommended:OS:Microsoft Windows 7Processor:CPU: 2.5 GHzMemory:2 GB RAMGraphics:NVidia GeForce GTX 460 or betterHard Drive:3 GB HD spaceSound:DirectX 9.0c CompatibleOther Requirements:Broadband Internet connection
223450,Minimum:Processor:i3Memory:1 GB RAMDirectX®:9.0Hard Drive:1337 MB HD space,Recommended:Processor:i5Memory:2 GB RAMDirectX®:9.0Hard Drive:1337 MB HD space
223470,Minimum:OS:Windows XP SP3/Vista/7/8/10Processor:Pentium 3 1133MHz or AMD Athlon 733MHz ProcessorMemory:128 MB RAMGraphics:32MB GeForce 2 or Radeon Video CardDirectX(r):8.0Hard Drive:1200 MB HD spaceOther Requirements:Broadband Internet connection,Recommended:OS:Windows XP SP3/Vista/7/8/10Processor:1.2GHz Memory:384 MB RAMGraphics:64MB GeForce 3 or Radeon 8500 Video CardDirectX(r):8.0Hard Drive:1200 MB HD spaceOther Requirements:Broadband Internet connection
223490,Minimum:OS: XPProcessor: Dual CoreMemory: 4 GB RAMGraphics: Dedicated 500MBDirectX: Version 9.0aStorage: 1 GB available space,Recommended:OS: 7Processor: Quad CoreMemory: 8 GB RAMGraphics: Dedicated 1GBDirectX: Version 9.0aStorage: 1 GB available space
223510,Minimum:OS:Windows XP Vista 7Processor: Intel Core2 Duo AMD Athlon64 x2 or betterMemory:2 GB RAMGraphics:NVidia Geforce 8600GT ATI Radeon 3670HD or equivalentDirectX®:9.0Hard Drive:3 GB HD spaceSound:DirectX compatible sound card,Recommended:OS:Windows XP Vista 7Processor:Intel Core i5/i7 AMD equivalent or better Memory:4 GB RAMGraphics:Nvidia GeForce GTX 280 ATI Radeon 4870 or betterDirectX®:11Hard Drive:3 GB HD spaceSound:DirectX compatible sound card
223591,OS: Windows XP (Service Pack 2) or Windows Vista (Service Pack 1)Processor: (XP) 2.0 GHz P4 processor or equivalent; (Vista) 2.4 GHz P4 processor or equivalent Memory: (XP) 1 GB; (Vista) 1.5 GBGraphics: 128 MB Video Card with support for Pixel Shader 2.0 DirectX(r): Hard Drive: At least 6.5 GB of hard drive space with at least 1 GB additional space for custom contentSound:Built-in Graphics:Intel Integrated Chipset GMA X3000 or above.  2.6 GHz Pentium D CPU or 1.8 GHz Core 2 Duo or equivalent  0.5 GB additional RAMSupported Video Cards:Nvidia GeForce series: FX5900 or greater G100 GT 120 GT 130 GTS 150 GTS 250 GTX 260 GTX 275 GTX 280 GTX 285 GTX 295; ATI Radeon(tm) series: ATI Radeon 9500 series of greater X300 X600 X700 X800 X850 X1300 X1600 X1800 X1900 X1950 2400 2600 2900 3450 3650 3850 3870 4850 4870 series or greater; Intel(r) Graphics Media Accelerator (GMA): GMA 3-Series GMA 4-Series *Please note that the GeForce 6100 and 7100 cards are not supported,
223630,Minimum:OS:Windows XP SP2Processor:2.6 GHz Single CoreMemory:2 GB RAMGraphics:DirectX 9.0c Compatible Graphics CardDirectX(r):9.0cHard Drive:1 GB HD spaceSound:DirectX CompatibleOther Requirements:Broadband Internet connection,Recommended:OS:Windows 7Processor:3.0 GHz Dual CoreMemory:4 GB RAMGraphics:DirectX 9.0c Compatible Graphics Card with 1GB Memory (Nvidia GeForce GTX 260 ATI Radeon 4890)DirectX(r):9.0cHard Drive:1 GB HD spaceSound:DirectX CompatibleOther Requirements:Broadband Internet connection
223670,Minimum:OS: Windows Vista Windows 7 or Windows 8Processor: Intel Core 2 Duo @ 2.4Ghz or AMD Athlon X2 5400+Memory: 2 GB RAMGraphics: AMD HD2600 or NVIDIA Geforce 8600DirectX: Version 11Network: Broadband Internet connectionStorage: 15 GB available spaceSound Card: Direct X compatible soundcardAdditional Notes: Supported Graphics Cards: *AMD Radeon HD2600 or higher HD3650 or higher HD4550 or higher HD5000 Series HD6000 Series HD7000 Series. *nVidia GeForce 8600 or higher 9500 or higher GTX220 or higher GTX400 Series GTX500 Series GTX600 Series. Intel HD Graphics 3000 or higher AMD Fusion A8 or higher.,Recommended:OS: Windows Vista Windows 7 64 bit  or Windows 8Processor: Intel Core i7/AMD BulldozerMemory: 4 GB RAMGraphics: AMD HD6000 Series/Nvidia GTX500 Series minimum 1GB RAMDirectX: Version 11Network: Broadband Internet connectionStorage: 15 GB available spaceSound Card: Direct X compatible soundcardAdditional Notes: Supported Graphics Cards: *AMD Radeon HD2600 or higher HD3650 or higher HD4550 or higher HD5000 Series HD6000 Series HD7000 Series. *nVidia GeForce 8600 or higher 9500 or higher GTX220 or higher GTX400 Series GTX500 Series GTX600 Series. Intel HD Graphics 3000 or higher AMD Fusion A8 or higher.
223710,Minimum:OS:Windows(r) 7 (32/64-bit)/Vista/XPProcessor:1 ghzMemory:1024 MB RAMGraphics:128MB Video Card with OpenGL supportHard Drive:5 GB HD spaceAdditional:Microsoft .NET Framework 4 Required,Recommended:OS:Windows(r) 7 (32/64-bit)/Vista/XPProcessor:2 ghzMemory:2048 MB RAMGraphics:512MB Video Card with OpenGL supportHard Drive:7 GB HD spaceAdditional:Microsoft .NET Framework 4 Required
223730,Minimum:OS: Windows XP 32 BitsProcessor: Single Core 2.4 GhzMemory: 2 GB RAMGraphics: Radeon 2400 Pro or Nvidia 8500 GT Shader Model 3 512 MB of video memoryDirectX(r): 9.0cHard Drive: 1500 MB HD spaceSound: Integrated Sound CardAdditional: Controller recommended,Recommended:OS: Windows 7 32 BitsProcessor: Dual Core 2.4 GhzMemory: 4 GB RAMGraphics: Radeon 4850 or Nvidia 9800 GT Shader Model 3 512 MB of video memoryDirectX(r): 9.0cHard Drive: 2000 MB HD spaceSound: Integrated Sound CardAdditional: Controller recommended
223750,Minimum system requirements: OS 64-bit Windows 7/8/10; DirectX11; CPU: Core i5; RAM: 8 GB; Free hard disk space: 30 GB; Video: 2 GB RAM card DirectX11 - compatible; requires internet activation.,Recommended system requirements: OS 64-bit Windows 7/8/10; DirectX11; CPU: Core i7+; RAM: 16GB; Hard disk space: 30 GB; Video: NVIDIA GeForce GTX780 / ATI R9 290 DirectX11 or better; Joystick; requires internet activation.
223810,Minimum:OS:Windows XPProcessor:Pentium III 866 MHzMemory:1 GB RAMGraphics:64 MB VRAM 3D accelerator compatible w/ DirectX 9.0cDirectX(r):9.0cHard Drive:2 GB HD spaceSound:Compatible with DirectX 9.0c,Recommended:OS:Windows XP Vista 7 (64-bit supported)Processor:Pentium III 1.6 GHz or higherMemory:2 GB RAMGraphics:64 MB VRAM 3D accelerator compatible w/ DirectX 9.0cDirectX(r):9.0cHard Drive:3 GB HD spaceSound:Compatible with DirectX 9.0c
223830,Minimum:OS:Windows 8 / 7 SP1 / Vista SP2Processor:Intel 2 GHzMemory:1 GB RAMGraphics:Integrated GraphicsHard Drive:3 GB HD spaceSound:IntegratedMonitor:1280x720 pixels minimum,Recommended:Memory:2 GB RAMGraphics:512 MB DirectX 9.0c Compliant Video Card Hard Drive:Solid State Hard Drive
223850,Minimum:OS:Windows Vista*Processor:1.8 GHz dual-coreMemory:2 GB RAMGraphics:DirectX 9**Storage:3 GB spacePlease refer to the DLC pages for the system requirements for each individual benchmark test.* Windows Vista users will need to install the DirectX 11 platform update from Microsoft. ** You can use 3DMark to test DirectX 9 and DirectX 10 compatible hardware but you will need a DirectX 11 compatible video card to run all of the tests. DirectX 9 hardware needs Shader Model 3.0 support 128MB video card memory and WDDM 1.1 drivers.,
223870,Minimum:OS:Windows XPProcessor:Pentium III 866 MHzMemory:1 GB RAMGraphics:64 MB VRAM 3D accelerator compatible w/ DirectX 9.0cDirectX(r):9.0cHard Drive:2 GB HD spaceSound:Compatible with DirectX 9.0c,Recommended:OS:Windows XP Vista 7 (64-bit supported)Processor:Pentium III 1.6 GHz or higherMemory:2 GB RAMGraphics:64 MB VRAM 3D accelerator compatible w/ DirectX 9.0cDirectX(r):9.0cHard Drive:3 GB HD spaceSound:Compatible with DirectX 9.0c
224040,Minimum:OS: Windows XP SP2 32-bitProcessor: Dual CoreMemory: 2 GB RAMGraphics: DirectX10 GPU w/256megs VRAMDirectX: Version 9.0cStorage: 15 GB available spaceSound Card: Windows HD AudioAdditional Notes: DirectX9 GPU not supported,Recommended:OS: Windows 7 64-bitProcessor: Quad CoreMemory: 4 GB RAMGraphics: DirectX11 GPU w/1gb VRAMDirectX: Version 11Network: Broadband Internet connectionStorage: 15 GB available spaceSound Card: Windows HD Audio
224060,Minimum:OS:Windows 8 Windows 7 Windows Vista Windows XPProcessor:Intel Core 2 Duo E8200 @ 2.66 GHz or AMD Phenom X3 8750Memory:2 GB RAMGraphics:GeForce 8800 GT series with 512 MB RAM or ATI Radeon HD4850 with 512MB RAMDirectX(r):9.0cHard Drive:7 GB HD spaceSound:DirectX(r) 9.0c or laterOther Requirements:Broadband Internet connectionAdditional:Internet connection is for Steam only. No online MP.,
224220,Minimum:OS:Windows XP SP2 / Windows VistaProcessor:Intel/AMD Dual Core @ 2.2 GHzMemory:2 GB RAMGraphics:ATI/Nvidia dedicated graphicscard with 256 MB RAM and Shadermodel 3.0 support. Newer integrated graphics-chipsets should work but are not recommended.DirectX(r):9.0cHard Drive:800 MB HD spaceSound:DirectX(r) compatible soundcardAdditional:Game controller (Xbox 360(r) Controller for Windows recommended),Recommended:OS:Windows 7 / Windows 8 / Windows 10Processor:Intel/AMD Dual Core @ 2.6 GHzMemory:4 GB RAMGraphics:ATI/Nvidia dedicated graphicscard with 512 MB RAM and Shadermodel 3.0 support. ATI Radeon HD 4000 Series and NVIDIA Geforce 200 Series and higherDirectX(r):9.0cHard Drive:800 MB HD spaceSound:DirectX(r) compatible soundcardOnline Multiplayer Reqs:Broadband Internet connectionFor the best experience:Game controller (Xbox 360(r) Controller for Windows recommended)
224260,Minimum:OS: Windows(r) Vista or betterProcessor: Dual core 2.4 GHz processor or better Memory: 2 GB RAMGraphics: Radeon HD 5000 Series or nVidia GeForce 200 series or betterDirectX(r): 9.0cHard Drive: 10 GB HD spaceSound: DirectX 9.0c compatible soundOther Requirements: Mouse Keyboard Broadband Internet connection with at least 5Mbps up/down,
224280,Minimum:OS:Microsoft(r) Windows(r) XP / Vista / 7 (32-bit/64-bit)Processor:Intel(r) Pentium(r) 4 2.0 GHz equivalent or faster processorMemory:512 MB RAMGraphics:1024 x 768 pixels or higher desktop resolutionHard Drive:400 MB HD space,Recommended:Processor:Intel(r) Pentium(r) 4 2.0 GHz equivalent or faster processorMemory:512 MB RAM
224300,Minimum:OS:Windows XP/ Windows Vista / Windows 7Processor:1.8Ghz processorMemory:1 GB RAMGraphics:3D graphics compatible with DirectX 9DirectX(r):9.0bHard Drive:2 GB HD space,
224340,Minimum:OS:Windows 7 or (Windows(r) XP32/XP64 (with Service Pack 3) and DirectX(r) 9.0c) or (Windows Vista(r) with Service Pack 2)Processor:Intel Core 2 Duo 2.6 GHz or AMD Phenom X3 8750Memory:2 GB RAMGraphics:GeForce 8800 GT series with 512 MB RAM or ATI Radeon HD 4850 with 512 MB RAMDirectX®:9.0cHard Drive:2 GB HD spaceSound:DirectX 9.0 -compliant sound cardOther Requirements:Broadband Internet connectionAdditional:Internet connection is for Steam only. No online MP.,
224380,Minimum:OS:Windows XP/Vista/7/8Processor:Intel(r) Core(tm) 2 or AMD Athlon(tm) X2Memory:1024 MB RAMGraphics:1024x768 SVGA videoHard Drive:30 MB HD spaceAdditional:Multi - channel DirectX compatible soundcard,Recommended:Additional:Multi - channel DirectX compatible soundcard
224440,Minimum:OS:64-bit Windows 7 Windows 8 Windows 10Processor:Intel(r) CoreTM2 Duo 2.4 Ghz or better AMD AthlonTM X2 2.8 Ghz or betterMemory:4 GB RAMGraphics:NVIDIA GeForce GTX 460 / ATI Radeon HD 5850 or better*Desktop Resolution:1280x720DirectX(r):9.0cHard Drive:1.4GB HD spaceSound:Windows compatible sound card*Intel HD 4000 cards have a known problem and are not supported,Recommended:OS:64-bit Windows 7 Windows 8 Windows 10Processor:Intel(r) CoreTM2 Quad 2.7 Ghz or better AMD PhenomTM II X4 3 Ghz or betterMemory:4 GB RAMGraphics:NVIDIA(r) GeForce(r) GTX 560 or betterDirectX(r):11Hard Drive:1.4GB HD spaceSound:Windows compatible sound card
224460,Minimum:OS: WINDOWS XP SP2/WINDOWS VISTA SP1/WINDOWS 7/WINDOWS 8Processor: AMD/INTEL DUAL-CORE 2.3 GHzMemory: 2 GB RAMGraphics: 512MB VRAM COMPATIBLE DIRECTX 9.0C AND SHADER MODEL 3.0 AMD RADEON X2600 XT/NVIDIA GEFORCE 7900 GTXDirectX: Version 9.0cStorage: 4 GB available spaceSound Card: DIRECTX 9 COMPATIBLEAdditional Notes: The Original Soundtrack and the Programme (Artwork Dev. Diary) will be placed in your CONTRAST folder in the Steam Directory: ...\Steam\SteamApps\common\Contrast\CONTRAST_Programme-OST,
224480,Minimum:OS: Windows XP SP3Processor: Intel Core 2 Duo 2.0Ghz or equivalentMemory: 2 GB RAMGraphics: Intel Core HD Graphics 3000/4000 NVIDIA 8800 GT ATI Radeon HD 4850 or betterDirectX: Version 9.0Storage: 3 GB available spaceSound Card: DirectX 9.0c compatible sound cardAdditional Notes: NOT SUPPORTED: ATI Radeon X1600 Intel GMA950 NVIDIA Geforce 7050,Recommended:OS: Windows 7 Windows 8Processor: Intel Core i5 2.8Ghz or equivalentMemory: 4 GB RAMGraphics: NVIDIA GeForce 450 AMD Radeon HD 5670 or betterDirectX: Version 9.0Storage: 3 GB available spaceSound Card: DirectX 9.0c compatible sound card
224500,Minimum:OS:Windows XP Vista or Windows 7Processor:2.0 GhzMemory:1 GB RAMDirectX(r):9.0cHard Drive:200 MB HD space,
224540,Minimum:OS: Windows XP with SP3 / Vista / 7Processor: 2.4 GHz Intel Dual Core Processor or AMD equivalent Memory: 2 GB RAMHard Disk Space: 500 MB freeGraphics: 800 x 600 Minimum Resolution OpenGL 2.0 Support or better.Video Card: Recommend use of dedicated graphics card (GeForce 6800 GT or higher Radeon X1600 or higher Intel Graphics version GMA 4500 or higher with 128 MB of dedicated RAM. Laptop/Mobility cards will vary. DirectX: 9.0 Other Requirements:  Broadband Internet connection,Recommended:OS: Windows XP with SP3 / Vista / 7Processor: 2.6+ GHz Intel Quad Core Processor or AMD equivalent Memory: 4 GB RAMHard Disk Space: 500 MB freeGraphics: 800 x 600 Minimum Resolution OpenGL 2.0 Support or better.Video Card: GeForce GTX460 dedicated graphics card or AMD equivalent DirectX: 9.0 Other Requirements:  Broadband Internet connection
224600,Minimum:OS: Windows XP SP2Processor: Intel Core 2 Duo 2.0 GHz CPU or betterMemory: 2 GB System RAMGraphics: 512MB video card (NVIDIA GeForce 8600 ATI Radeon HD 2900 or Intel HD 4000 integrated graphics or better)DirectX(r): 9.0cHard Drive: 15 GB free hard drive spaceSound: DirectX 8.1 compatible sound cardInternet: Broadband internet connection,
224700,Minimum:OS:Windows XP SP3/Vista/7Processor:1.4+GHzMemory:2+ GB RAMGraphics:256+MBDirectX®:9.0cHard Drive:1+ GB HD space,Recommended:Graphics:512+MB
224740,Minimum:OS: Windows 7 Operating System of The Lower ClassesProcessor: Intel i5 Processor or Equivalent (The Little Scrapper model)Memory: 4 GB RAMGraphics: NVIDIA or AMD card capable of supporting OpenGL 3.2 Core or Above. INTEL HD3000 AND HD4000 GRAPHICS CARDS ARE NOT SUPPORTED.DirectX: Version 9.0Storage: 4 GB available spaceSound Card: Lord Palmerstokes Sound-Reproducing Old-Timey Wax Cylinder DriverAdditional Notes: INTEL HD3000 AND HD4000 GRAPHICS CARDS ARE NOT SUPPORTED. The Ministry for Video Game Drivers would like to remind you: true Patriots of the Empire always install their latest Graphics Card Drivers before Enjoying A Bracing Video Game lest the Blackness Consume Us All.,Recommended:OS: Windows 7 64-Bit Version (By Appointment to Her Majesty)Processor: Intel i7 or above fashioned of Stout Empire Tin and Burnished of Solid PewterMemory: 8 GB RAMGraphics: A Big Shiny NVIDIA or AMD Graphics Card With Lots of Fans Stuck to It. (Remember: More Fans Means More Steampunk!)DirectX: Version 9.0Network: Broadband Internet connectionStorage: 8 GB available spaceSound Card: His Masters Voice Novorusian All-Wailing Gramaphone Module and Borscht DispensaryAdditional Notes: The Ministry for Growth and Monitoring encourages you to buy a Really Big Monitor.
224760,Minimum:OS:Windows XP SP3 (for Version 1.11 accessible through the Betas tab)Processor:Intel Core 2 Duo 2.8Ghz or equivalentMemory:2 GB RAMGraphics:2nd Generation Intel Core HD Graphics (2000/3000) or dedicated GPU with OpenGL 3.0 SupportHard Drive:500 MB HD spaceSound:OpenAL-compatibleAdditional:See https://getsatisfaction.com/polytron/topics/support_for_intel_integrated_graphics_hardware for details on Intel HD Graphics support not all models are supported. Latest graphics drivers are required to maximize OpenGL feature compatibility.,Recommended:OS:Windows 7 (for version 1.12 or later)Memory:4 GB RAMGraphics:nVidia GeForce GT 240 or betterAdditional:See https://getsatisfaction.com/polytron/topics/support_for_intel_integrated_graphics_hardware for details on Intel HD Graphics support not all models are supported. Latest graphics drivers are required to maximize OpenGL feature compatibility.
224820,Minimum:Memory:512 MB RAMHard Drive:200 MB HD space,Recommended:Memory:1024 MB RAMHard Drive:200 MB HD space
224860,Minimum:OS: Microsoft Windows(r) XP SP2 or newerProcessor: Intel Core 2 Duo or dual core AMD XP or betterMemory: 1 GB RAMGraphics: DirectX 9.0c Compatible(with shader model 2)DirectX: Version 9.0cStorage: 750 MB available space,
224900,Minimum:OS:Windows XPProcessor:Intel/AMD 2 GHzMemory:2 GB RAMGraphics:Per-Pixel-Shader 3.0 512 MB RAMDirectX(r):9.0cHard Drive:1500 MB HD spaceOther Requirements:Broadband Internet connection,Recommended:OS:Windows Vista (or newer)Processor:Intel/AMD 2 GHz MulticoreMemory:4 GB RAMGraphics:Radeon HD 2900 / Geforce 8800 GTX or betterDirectX(r):11Hard Drive:1500 MB HD spaceOther Requirements:Broadband Internet connection
224920,Minimum:OS:Windows XP / Windows Vista / Windows 7Processor:1.8 GHz ProcessorMemory:512 MB RAMGraphics:3D graphics card compatible with DirectX 7DirectX(r):7.0Hard Drive:2 GB HD space,
224940,Minimum:OS:Windows XP / Windows Vista / Windows 7Processor:1.8 GHz ProcessorMemory:512 MB RAMGraphics:3D graphics card compatible with DirectX 7DirectX(r):9.0Hard Drive:2 GB HD space,
224960,Minimum:OS:Windows XP / Windows Vista / Windows 7Processor:1.8 GHz ProcessorMemory:512 MB RAMGraphics:3D graphics card compatible with DirectX 9DirectX(r):9.0Hard Drive:2 GB HD space,
